availability,brand,color,model,price,promo_price,status,storage
lastonly,SAMSUNG,Чорний,Samsung Galaxy Fold7,84999,84999,new,256
willended,SAMSUNG,Чорний,Samsung Galaxy Fold7,89999,89999,new,512
lastonly,SAMSUNG,Чорний,Samsung Galaxy Fold7,99999,99999,new,1
lastonly,SAMSUNG,Чорний,Samsung Galaxy Flip7 FE,43999,43999,new,256
willended,SAMSUNG,Синій,Samsung Galaxy Flip7,49999,49999,new,256
willended,SAMSUNG,Чорний,Samsung Galaxy Flip7,53999,53999,new,512
lastonly,SAMSUNG,Блакитний,Samsung Galaxy A17,7599,7999,new,128
available,SAMSUNG,Сірий,Samsung Galaxy A17,7599,7999,new,128
available,SAMSUNG,Сірий,Samsung Galaxy A17,7599,7999,new,128
available,SAMSUNG,Сірий,Samsung Galaxy A17,8699,9199,new,256
available,SAMSUNG,Сірий,Samsung Galaxy A17,8699,9199,new,256
available,SAMSUNG,Сірий,Samsung Galaxy A17,8699,9199,new,256
lastonly,SAMSUNG,Сріблястий,Samsung Galaxy S25 Edge,54999,50099,new,512
lastonly,SAMSUNG,Чорний,Samsung Galaxy S25 Edge,54999,50099,new,512
lastonly,SAMSUNG,Чорний,Samsung Galaxy S25 Edge,54999,46699,new,256
available,SAMSUNG,Білий,Samsung Galaxy S25 Fan Edition,30999,29699,new,256
available,SAMSUNG,Блакитний,Samsung Galaxy S25 Fan Edition,30999,29699,new,256
available,SAMSUNG,Чорний,Samsung Galaxy S25 Fan Edition,30999,29699,new,256
available,SAMSUNG,Блакитний,Samsung Galaxy S25 Fan Edition,32999,32799,new,512
willended,SAMSUNG,Синій,Samsung Galaxy S25 Fan Edition,32999,32799,new,512
willended,Apple,Синій,Apple iPhone 17 Pro Max,69999,69999,new,256
available,Apple,Помаранчевий,Apple iPhone 17 Pro Max,69999,69999,new,256
available,Apple,Синій,Apple iPhone 17 Pro,63999,63999,new,256
available,Apple,Помаранчевий,Apple iPhone 17 Pro,63999,63999,new,256
available,Apple,Сріблястий,Apple iPhone 17 Pro,63999,63999,new,256
available,SAMSUNG,Чорний,Samsung Galaxy S25 Fan Edition,32999,32799,new,512
available,SAMSUNG,Бузковий,SAMSUNG Galaxy A36,15599,13399,new,128
available,SAMSUNG,Зелений,SAMSUNG Galaxy A36,15599,13399,new,128
willended,SAMSUNG,Білий,SAMSUNG Galaxy A36,15599,13399,new,128
available,SAMSUNG,Чорний,SAMSUNG Galaxy A36,15599,13399,new,128
available,SAMSUNG,Бузковий,SAMSUNG Galaxy A36,17399,14899,new,256
available,SAMSUNG,Зелений,SAMSUNG Galaxy A36,17399,14899,new,256
available,SAMSUNG,Білий,SAMSUNG Galaxy A36,17399,14899,new,256
available,SAMSUNG,Чорний,SAMSUNG Galaxy A36,17399,14899,new,256
lastonly,SAMSUNG,Зелений,SAMSUNG Galaxy A26,11899,9199,new,128
available,SAMSUNG,Білий,SAMSUNG Galaxy A26,11899,9199,new,128
available,SAMSUNG,Чорний,SAMSUNG Galaxy A26,11899,9199,new,128
available,SAMSUNG,Зелений,SAMSUNG Galaxy A26,13399,10299,new,256
available,SAMSUNG,Білий,SAMSUNG Galaxy A26,13399,10299,new,256
available,SAMSUNG,Чорний,SAMSUNG Galaxy A26,13399,10299,new,256
willended,SAMSUNG,Сірий,SAMSUNG Galaxy A56,20899,17999,new,128
willended,SAMSUNG,Рожевий,SAMSUNG Galaxy A56,20899,17999,new,128
available,SAMSUNG,Зелений,SAMSUNG Galaxy A56,20899,17999,new,256
available,SAMSUNG,Темно-сірий,SAMSUNG Galaxy A56,22999,18899,new,256
willended,SAMSUNG,Синій,Samsung Galaxy S25,43999,40999,new,512
willended,SAMSUNG,Сірий,Samsung Galaxy A16,8499,7299,new,128
available,SAMSUNG,Чорний,Samsung Galaxy A16,8499,7299,new,128
available,TECNO,Чорний,TECNO Spark Go 1 (KL4),3799,3599,new,64
available,Doogee,Червоний,Doogee S118,13999,11999,new,512
available,TECNO,Чорний,TECNO Spark Go 1 (KL4),3999,3749,new,128
willended,Apple,Синій,Apple iPhone 16 Plus,52499,44899,new,128
available,Apple,Білий,Apple iPhone 16 Plus,52499,44899,new,128
available,Apple,Чорний,Apple iPhone 16 Plus,52499,44899,new,128
available,Apple,Синій,Apple iPhone 14 Pro Max,47499,39299,new,128
available,Apple,Бірюзовий,Apple iPhone 16,47499,39299,new,128
available,Apple,Рожевий,Apple iPhone 16,47499,39299,new,128
available,Apple,Білий,Apple iPhone 16,47499,39299,new,128
available,Apple,Чорний,Apple iPhone 13,26999,22999,new,128
available,Apple,Білий,Apple iPhone 13,26999,22999,new,128
available,Apple,Чорний,Apple iPhone 15,36999,33299,new,128
willended,Apple,Рожевий,Apple iPhone 15,36999,33299,new,128
available,Apple,Чорний,Apple iPhone 15,41999,38299,new,256
available,Apple,Блакитний (синій),Apple iPhone 15,41999,38299,new,256
willended,Apple,Зелений,Apple iPhone 15 Plus,41999,39999,new,128
